contextid,message_id,message,calltype,username,createtime,skill_id,bot_code
000b5825f7c04e83bf0e0043f315a538,723dfc87299348cdb42ed697d4ee6b51,方便告知一下具体的城市天街吗,out,珑小潼,2022-03-24 22:51:50,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,788f5ba7b58044a48b90885514c6dc2b,欢迎回来,out,珑小潼,2022-03-24 22:51:28,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,800fc043c386442e8f6e86244be2a845,你好,in,16,2022-03-24 22:49:39,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,877714f50b6c46f38b82168ef8494e83,请问还有什么可以帮您的呢?,out,珑小潼,2022-03-24 22:54:28,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,a0f38507c21444ec8193d2abb963875b,对的,in,16,2022-03-24 22:52:24,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,a13388df2dfe4aa4bcfe637608740a87,确实非常抱歉呢，小潼这里暂时未登记相关信息呢。,out,珑小潼,2022-03-24 22:51:00,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,b0f407642b12407a862461361fd41a06,晚安~,out,珑小潼,2022-03-24 22:54:31,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,b43d2cb4ba16409092023849e8a49ab4,"<span style=""color:#444444;font-family:&quot;font-size:13px;white-space:normal;background-color:#C7DCFA;"">小潼这里暂时未登记相关信息的呢。</span>",out,珑小潼,2022-03-24 22:53:45,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,bac14252bd4042e5a43a1d169e7e6881,"<a href=""https://cc.longfor.com:443/res/image.html?id=12439c3d9a13ddd3884d8391087112d0_original"" target=""_blank""> <img src=""https://cc.longfor.com:443/res/image.html?id=12439c3d9a13ddd3884d8391087112d0"" /> </a>",out,珑小潼,2022-03-24 22:50:26,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,be085d3da79649c282f8098b1ea58417,那有这个活动么？,in,16,2022-03-24 22:53:17,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,c9921fd649d243b5ae3759493311db52,"<a href=""https://cc.longfor.com:443/res/image.html?id=d44b065a9c9af1bf235ec949d9d475de_original"" target=""_blank""> <img src=""https://cc.longfor.com:443/res/image.html?id=d44b065a9c9af1bf235ec949d9d475de"" /> </a>",out,珑小潼,2022-03-24 22:50:43,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,d46b33f3485c46ada362a1c6170c4622,随便,in,16,2022-03-24 22:51:39,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,e58e2397b7f342828a565776f097558a,？,in,16,2022-03-24 22:50:11,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,e75b70c8d37b4f29a5f4538a3c33a9f1,你不知道么,in,16,2022-03-24 22:53:39,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000b5825f7c04e83bf0e0043f315a538,fbf42f8e6643408ab858c1861e982978,后台的工作人员核实后会有相关的工作人员与您联系的,out,珑小潼,2022-03-24 22:54:15,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,02dac13a04f44217b8483d65ca0a036d,抱歉，客服这里没有查询到该活动登记哦,out,珑小乐,2022-04-09 15:43:10,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,118be4a13d884575822d342c350f5e65,看,in,ᰔᩚ,2022-04-09 15:42:54,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,17d5b5f275664ab8b0bc3e4cc69233b4,这里是人工哦,out,珑小乐,2022-04-09 15:40:11,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,1ecf63f0d0e847c9b08f1368bfcdd1eb,什么平台呢,out,珑小乐,2022-04-09 15:41:15,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,1f59a218d5ee4e20859dd73c88adf96b,您说,out,珑小乐,2022-04-09 15:40:13,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
000cbb4e96764f168e140a67a8b9e182,29f38946d458402f9c2ae82af36bbf08,https://cc.longfor.com:443/res/image.html?id=6d0b9f2485736f2184fe1d1ab9b780a4,in,ᰔᩚ,2022-04-09 15:42:52,8ab680a17b16a23c017b4d1a001600a5,C2ZXKF
